1,9,9,4,8,11,9,3,3,10,12,13,3,2,2,13,12,12,4,3,12751.8
1,5,13,9,7,3,10,11,7,10,13,11,6,11,8,2,5,5,3,6,13086.3
1,3,2,4,11,2,11,4,3,8,6,4,3,9,5,2,4,5,2,8,12851.68
1,3,3,5,11,7,7,8,5,11,7,8,7,6,7,9,10,4,3,5,13776.78
1,9,9,6,5,6,4,13,8,9,11,10,5,11,7,10,9,6,4,4,13016.87
1,13,9,7,2,2,9,3,9,5,3,8,2,4,4,8,6,11,10,9,12667.78
1,9,7,4,10,3,5,13,4,2,8,13,2,13,12,10,9,12,2,3,13256.83
1,4,4,8,8,2,5,4,11,5,8,3,7,9,6,10,9,11,6,12,12527.93
1,2,3,10,13,13,7,3,12,5,6,13,5,8,4,13,4,6,4,10,12818.78
1,10,6,6,4,10,3,4,10,13,13,8,12,10,4,13,8,7,9,12,12973.94
1,8,7,11,13,12,2,4,7,4,4,6,6,8,9,6,8,11,12,2,12188.62
1,9,2,4,3,4,3,4,10,4,8,5,3,9,4,8,9,11,12,7,12979.12
1,7,4,10,7,10,10,11,7,13,2,7,11,10,6,11,11,13,10,13,12426.96
1,8,11,13,12,4,8,6,5,8,11,2,2,5,5,3,13,4,8,9,12478.75
1,6,11,13,2,10,7,8,8,10,2,9,11,2,4,12,2,6,7,12,12747.25
1,13,7,11,5,11,2,12,11,8,12,10,11,7,11,7,8,2,10,11,13043.71
1,2,4,11,8,5,2,13,4,9,12,11,3,9,2,5,7,7,3,10,12661.15
1,12,4,6,8,7,2,8,10,11,13,8,4,10,8,5,5,11,3,11,12946.29
1,8,12,4,7,11,2,11,9,8,8,6,7,3,8,3,5,12,9,9,12701.09
1,7,13,13,2,3,12,8,2,11,4,10,2,10,4,10,13,6,8,8,12486.1
1,13,10,3,2,8,9,11,3,7,2,12,2,13,6,12,11,5,6,12,12557.05
1,13,11,3,12,11,4,4,9,8,2,11,8,7,10,8,5,3,12,2,12428.4
1,11,4,11,9,7,4,11,12,11,8,6,11,13,7,5,11,4,13,9,11246.79
